Trait,Model,Formula,AIC,R2_marginal,R2_conditional,P_Value
GRT,Random Intercept,1/sqrt(trait) ~ nitrogen,606.1350601405089,0.2400347896919151,0.30905182608372195,1.0423845939464113e-7
area_cm2,Random Slope,1/sqrt(trait) ~ nitrogen,-451.13651986449435,0.2407580836019357,0.31013448767939694,0.0027025494640577235
LMA,Random Intercept,sqrt(trait) ~ sqrt(nitrogen),-68.22928100512401,0.1688206880848753,0.31131118846496175,5.420744208896517e-6
LMA,Random Intercept,trait ~ sqrt(nitrogen),209.68381991161303,0.1841019084936307,0.31245069800973957,2.230066086756422e-6
CHL,Random Intercept,trait ~ nitrogen,689.4381473473953,0.2507093937506907,0.3175389981129297,5.123433082917594e-8
CHL,Random Slope,trait ~ nitrogen,686.0377469648332,0.21762564141956067,0.32135962746642865,0.008853363464158994
GRT,Random Slope,log(trait) ~ nitrogen,250.56759914729952,0.2987012418367965,0.3542695447192782,5.731343425845536e-4
LDMC,Random Slope,trait ~ nitrogen^2,909.9839114212782,5.784220761772601e-4,0.3772770929179937,0.9286771119564912
GRT,Random Slope,trait ~ nitrogen,-459.2828619712052,0.15582693821854637,0.385173991006926,0.06207986379219375
area_cm2,Random Intercept,trait ~ nitrogen^3,1358.101978067373,0.05184798134810256,0.39279261388694403,0.0052031746742354085
GRT,Random Slope,sqrt(trait) ~ nitrogen,-271.56752690562945,0.2358528978692432,0.3944058053762324,0.016970169839238162
area_cm2,Random Slope,trait ~ nitrogen^2,1353.3817890916237,0.04462098167551877,0.40070066726606085,0.4477383951905982
CHL,Random Slope,sqrt(trait) ~ sqrt(nitrogen),200.9205217567776,0.3219243198568766,0.4049430818833304,6.679488311035161e-5
GRT,Random Intercept,trait ~ nitrogen^3,-463.4465150025953,0.02351953022971864,0.41343020374205774,0.05288676371946033
CHL,Random Slope,trait ~ sqrt(nitrogen),672.9686704692331,0.3044568379167207,0.41442399041723293,2.9876890847855625e-4
CHL,Random Intercept,sqrt(trait) ~ sqrt(nitrogen),202.68507850108676,0.3533084073561415,0.41956566429687947,2.1117856852671463e-11
CHL,Random Intercept + Slope,trait ~ sqrt(nitrogen),674.8543361443968,0.287838114740135,0.42638768137099087,0.06222873822362495
CHL,Random Intercept,trait ~ sqrt(nitrogen),675.4936783446265,0.33975235886496574,0.4281226794135963,3.3271879249886666e-11
area_cm2,Random Intercept,log(trait) ~ nitrogen,187.6536766875211,0.27244776907042884,0.4312677069134099,1.1395243389812333e-9
GRT,Random Intercept,trait ~ nitrogen^2,-467.0687087872627,0.045567268024877344,0.4319878499611887,0.0067205153423236285
CHL,Random Intercept + Slope,sqrt(trait) ~ sqrt(nitrogen),201.1914731312653,0.31075431734451775,0.4361818255549107,0.05797289059082183
