"trait","species","model","AIC","R2","p_val"
"LMA","R. sativus","X ~ N",104.493946989361,0.102702672097149,0.0466964560818187
"LMA","R. sativus","log(X) ~ N",-11.9182932928074,0.0816268782026508,0.0778787319871066
"LMA","R. sativus","X ~ log(N)",85.1493485667028,0.453588730962076,2.61899946252854e-06
"LMA","R. sativus","log(X) ~ log(N)",-27.3643287613696,0.38196099688685,2.76166255034186e-05
"LMA","R. sativus","sqrt(X) ~ N",-8.34699797811695,0.092098423583312,0.0603651405116581
"LMA","R. sativus","X ~ sqrt(N)",98.3488171434951,0.23351138542074,0.00183218507456373
"LMA","R. sativus","sqrt(X) ~ sqrt(N)",-13.8914902498397,0.212416412280053,0.00314933004470782
"LDMC","R. sativus","X ~ N",344.155177749869,0.157396469042876,0.0124000560853485
"LDMC","R. sativus","log(X) ~ N",-27.2599919619787,0.133207047116169,0.0223387890193542
"LDMC","R. sativus","X ~ log(N)",317.112560944966,0.578804915825571,1.90022898660401e-08
"LDMC","R. sativus","log(X) ~ log(N)",-49.0972401243392,0.504845071963311,4.03365183645592e-07
"LDMC","R. sativus","sqrt(X) ~ N",103.853797509934,0.145735489459928,0.0164807008655718
"LDMC","R. sativus","X ~ sqrt(N)",335.121148013046,0.331621418373829,0.000125114088699677
"LDMC","R. sativus","sqrt(X) ~ sqrt(N)",95.5293302519498,0.309930029664459,0.000232648738060285
"area_cm2","R. sativus","X ~ N",547.701434589814,0.440368680822374,4.1303476499734e-06
"area_cm2","R. sativus","log(X) ~ N",85.3167080896362,0.445128063812348,3.50967977241528e-06
"area_cm2","R. sativus","X ~ log(N)",532.017884204962,0.625670700208646,2.06771736662389e-09
"area_cm2","R. sativus","log(X) ~ log(N)",14.4024747925635,0.909944723311009,6.20471170411697e-21
"area_cm2","R. sativus","sqrt(X) ~ N",251.986905566566,0.472156051123532,1.35679631914292e-06
"area_cm2","R. sativus","X ~ sqrt(N)",533.035789561048,0.615772037772721,3.37588265391558e-09
"area_cm2","R. sativus","sqrt(X) ~ sqrt(N)",229.844919649768,0.70081639154736,3.1068136968235e-11
"CHL","R. sativus","X ~ N",268.250245960821,0.245389517930844,0.00134409427915202
"CHL","R. sativus","log(X) ~ N",-13.0680426078792,0.266136190011921,0.000775361733883446
"CHL","R. sativus","X ~ log(N)",259.337351943438,0.399558057873079,1.58635815414517e-05
"CHL","R. sativus","log(X) ~ log(N)",-25.7940481758683,0.470456332290735,1.44229002705161e-06
"CHL","R. sativus","sqrt(X) ~ N",72.9628921504987,0.256447513908815,0.00100398730523423
"CHL","R. sativus","X ~ sqrt(N)",262.036703175023,0.356526986923198,6.0035479696505e-05
"CHL","R. sativus","sqrt(X) ~ sqrt(N)",65.9516641961007,0.378793048954575,3.0468498959529e-05
"Phi_PS2","R. sativus","X ~ N",-131.584291363127,0.0459746341194021,0.189934376317071
"Phi_PS2","R. sativus","log(X) ~ N",-107.800326078762,0.0472775879059754,0.183627262561814
"Phi_PS2","R. sativus","X ~ log(N)",-130.114586690906,0.00933642610682817,0.558437893953316
"Phi_PS2","R. sativus","log(X) ~ log(N)",-106.306759606092,0.010083932257784,0.543020165881686
"Phi_PS2","R. sativus","sqrt(X) ~ N",-173.258963441398,0.0466581241982482,0.186596068085598
"Phi_PS2","R. sativus","X ~ sqrt(N)",-131.055332529567,0.0329469957019112,0.268775950988723
"Phi_PS2","R. sativus","sqrt(X) ~ sqrt(N)",-172.731680146149,0.0336813355176906,0.263415910300837
"GRT","R. sativus","X ~ N",-226.876482573595,0.361678206703412,5.14145639836233e-05
"GRT","R. sativus","log(X) ~ N",36.0469609927572,0.484403809900728,8.68680761740391e-07
"GRT","R. sativus","X ~ log(N)",-229.512567143837,0.403397762591548,1.40283842485318e-05
"GRT","R. sativus","log(X) ~ log(N)",20.0234061024109,0.658118734467466,3.77426804187292e-10
"GRT","R. sativus","sqrt(X) ~ N",-133.266405471707,0.465954105598027,1.69417878472199e-06
"GRT","R. sativus","X ~ sqrt(N)",-233.31915281812,0.458877404917573,2.17632365467283e-06
"GRT","R. sativus","sqrt(X) ~ sqrt(N)",-148.327694888157,0.637039188286116,1.15901129405832e-09
"LMA","B. officinalis","X ~ N",74.4662061907209,0.189908418874858,0.00701711037509144
"LMA","B. officinalis","log(X) ~ N",-35.8186550054461,0.168107957001997,0.0117256215519611
"LMA","B. officinalis","X ~ log(N)",76.3880086172267,0.146719860350239,0.0192832223525377
"LMA","B. officinalis","log(X) ~ log(N)",-34.4522361968741,0.136811652676158,0.024243111137656
"LMA","B. officinalis","sqrt(X) ~ N",-32.2232478193833,0.179425534066731,0.00899036372457094
"LMA","B. officinalis","X ~ sqrt(N)",73.2677813919411,0.215726787506917,0.0037796352509669
"LMA","B. officinalis","sqrt(X) ~ sqrt(N)",-33.4086176688079,0.205297651433376,0.00486029049968966
"LDMC","B. officinalis","X ~ N",310.403890197391,0.103760905375,0.0518592277115568
"LDMC","B. officinalis","log(X) ~ N",-40.7986732034049,0.0975599199353355,0.0598210655515933
"LDMC","B. officinalis","X ~ log(N)",310.282184713558,0.10670409492367,0.0484638181356605
"LDMC","B. officinalis","log(X) ~ log(N)",-41.2697931305208,0.108977817166178,0.0459947234404115
"LDMC","B. officinalis","sqrt(X) ~ N",83.1758934262383,0.100992915627342,0.0552714392691888
"LDMC","B. officinalis","X ~ sqrt(N)",308.88381415858,0.139835123379054,0.0226094282530338
"LDMC","B. officinalis","sqrt(X) ~ sqrt(N)",81.5884448974953,0.138748210231593,0.0231838223352319
"area_cm2","B. officinalis","X ~ N",493.881244864921,0.278481563393019,0.000789259723169025
"area_cm2","B. officinalis","log(X) ~ N",67.7288294570815,0.303319986413435,0.00041220435038388
"area_cm2","B. officinalis","X ~ log(N)",476.108912729846,0.553685156499299,1.30279840875365e-07
"area_cm2","B. officinalis","log(X) ~ log(N)",14.1358670882286,0.836327452219915,2.55813925530316e-15
"area_cm2","B. officinalis","sqrt(X) ~ N",221.88970753866,0.308337087853678,0.000360676916512711
"area_cm2","B. officinalis","X ~ sqrt(N)",483.350269250411,0.457202149193213,4.36421863475466e-06
"area_cm2","B. officinalis","sqrt(X) ~ sqrt(N)",207.89295678587,0.526189167316234,3.79575641076099e-07
"CHL","B. officinalis","X ~ N",272.574616913085,0.407969009589735,2.09812941668043e-05
"CHL","B. officinalis","log(X) ~ N",31.1849536362553,0.337720895020411,0.000162209619503728
"CHL","B. officinalis","X ~ log(N)",265.599317555176,0.50969022858898,7.0099487892989e-07
"CHL","B. officinalis","log(X) ~ log(N)",7.94622157335826,0.646595520134616,2.0419381117661e-09
"CHL","B. officinalis","sqrt(X) ~ N",96.9354462867916,0.382294017633914,4.53906916989638e-05
"CHL","B. officinalis","X ~ sqrt(N)",264.316705203265,0.526395692284386,3.76623597894044e-07
"CHL","B. officinalis","sqrt(X) ~ sqrt(N)",86.8622086561566,0.529515543726022,3.34588832561338e-07
"Phi_PS2","B. officinalis","X ~ N",-81.8055474138415,0.00677616532853924,0.628133845518836
"Phi_PS2","B. officinalis","log(X) ~ N",-45.1982712285072,0.00571150271748587,0.656637573728019
"Phi_PS2","B. officinalis","X ~ log(N)",-81.8516277809948,0.00801237156195508,0.598297037075036
"Phi_PS2","B. officinalis","log(X) ~ log(N)",-45.1285580082681,0.00383635694201202,0.715727385831005
"Phi_PS2","B. officinalis","sqrt(X) ~ N",-114.656863416486,0.00620674221210234,0.643012343111652
"Phi_PS2","B. officinalis","X ~ sqrt(N)",-81.8242717987944,0.00727867344881596,0.615627405497545
"Phi_PS2","B. officinalis","sqrt(X) ~ sqrt(N)",-114.644841456277,0.00588378858605206,0.651820160721589
"GRT","B. officinalis","X ~ N",-187.426770381045,0.231414953507705,0.00257802479354045
"GRT","B. officinalis","log(X) ~ N",43.3916242137088,0.287489024353608,0.000624959183322709
"GRT","B. officinalis","X ~ log(N)",-191.738368889333,0.315956485687659,0.000294008481346946
"GRT","B. officinalis","log(X) ~ log(N)",32.1921519897579,0.473576049337492,2.51334414244983e-06
"GRT","B. officinalis","sqrt(X) ~ N",-113.436556606617,0.273800083619264,0.000890227507146324
"GRT","B. officinalis","X ~ sqrt(N)",-191.468670329779,0.310952173293478,0.000336317151075751
"GRT","B. officinalis","sqrt(X) ~ sqrt(N)",-119.869977598176,0.389700939087212,3.64423465602689e-05
"LMA","H. vulgare","X ~ N",26.8847226828662,0.139694495301352,0.0951145137403111
"LMA","H. vulgare","log(X) ~ N",-28.4526474763598,0.147920966772546,0.0851607093500116
"LMA","H. vulgare","X ~ log(N)",28.0132882306207,0.0921957417502898,0.180867459455742
"LMA","H. vulgare","log(X) ~ log(N)",-27.3651515856785,0.102633104840405,0.156823474300595
