LDMC_trans,LMA_trans,CHL_trans,grt_trans,Model,AIC,BIC,AICc,R2,Singular_fit
just,just,just,just,Random Intercept,-442.1440932,-426.6958274,-441.2107599,0.821651529,FALSE
just,just,just,just,Random Slope,-451.649803,-413.0291384,-445.7238771,0.960608935,TRUE
just,just,just,just,Random Slope + Intercept,-451.649803,-413.0291384,-445.7238771,0.960608935,TRUE
sqrt,inv,inv,log,Random Slope,191.2712522,229.8919169,197.1971782,0.937238068,FALSE
just,just,just,log,Random Slope,237.9452867,276.5659514,243.8712126,0.912570111,TRUE
just,just,just,log,Random Slope + Intercept,237.9452867,276.5659514,243.8712126,0.912570111,TRUE
just,just,just,sqrt,Random Intercept,-260.6588629,-245.2105971,-259.7255296,0.844083075,FALSE
just,just,just,sqrt,Random Slope,-263.4700868,-224.8494221,-257.5441609,0.954811478,TRUE
just,just,just,sqrt,Random Slope + Intercept,-263.4700868,-224.8494221,-257.5441609,0.954811478,TRUE
just,just,just,inv,Random Intercept,1298.522566,1313.970831,1299.455899,0.578211859,FALSE
just,just,just,inv,Random Slope,1288.42075,1327.041414,1294.346675,0.845826016,TRUE
just,just,just,inv,Random Slope + Intercept,1288.42075,1327.041414,1294.346675,0.845826016,TRUE
just,just,just,inv_sqrt,Random Intercept,596.8337821,612.282048,597.7671155,0.732325138,FALSE
just,just,just,inv_sqrt,Random Slope,582.4600994,621.0807641,588.3860253,0.840832209,TRUE
just,just,just,inv_sqrt,Random Slope + Intercept,582.4600994,621.0807641,588.3860253,0.840832209,TRUE
just,just,just,sq,Random Intercept,-857.5207336,-842.0724677,-856.5874002,0.720651022,FALSE
just,just,just,sq,Random Slope,-880.9695358,-842.3488711,-875.0436098,0.946901069,TRUE
just,just,just,sq,Random Slope + Intercept,-880.9695358,-842.3488711,-875.0436098,0.946901069,TRUE
just,just,just,cub,Random Intercept,-1279.562298,-1264.114032,-1278.628965,0.566594646,FALSE
just,just,just,cub,Random Slope,-1314.21371,-1275.593045,-1308.287784,0.92167817,TRUE
just,just,just,cub,Random Slope + Intercept,-1314.21371,-1275.593045,-1308.287784,0.92167817,TRUE
log,just,just,just,Random Intercept,-453.2150897,-437.7668238,-452.2817563,0.836305485,FALSE
log,just,just,just,Random Slope,-457.7448998,-419.1242351,-451.8189739,0.944464031,TRUE
log,just,just,just,Random Slope + Intercept,-457.7448998,-419.1242351,-451.8189739,0.944464031,TRUE
sqrt,inv,inv,log,Random Slope + Intercept,191.2712522,229.8919169,197.1971782,0.937238068,FALSE
log,just,just,log,Random Slope,234.2398813,272.860546,240.1658072,0.880942216,TRUE
log,just,just,log,Random Slope + Intercept,234.2398813,272.860546,240.1658072,0.880942216,TRUE
log,just,just,sqrt,Random Intercept,-271.4827993,-256.0345335,-270.549466,0.850721407,FALSE
log,just,just,sqrt,Random Slope,-268.327372,-229.7067073,-262.4014461,0.932989726,TRUE
log,just,just,sqrt,Random Slope + Intercept,-268.327372,-229.7067073,-262.4014461,0.932989726,TRUE
log,just,just,inv,Random Intercept,1287.935786,1303.384052,1288.869119,0.604849038,FALSE
log,just,just,inv,Random Slope,1285.528115,1324.14878,1291.454041,0.543967788,TRUE
log,just,just,inv,Random Slope + Intercept,1285.528115,1324.14878,1291.454041,0.543967788,TRUE
log,just,just,inv_sqrt,Random Intercept,586.2924536,601.7407195,587.225787,0.742170528,FALSE
log,just,just,inv_sqrt,Random Slope,584.1777908,622.7984555,590.1037167,0.639760503,TRUE
log,just,just,inv_sqrt,Random Slope + Intercept,584.1777908,622.7984555,590.1037167,0.639760503,TRUE
log,just,just,sq,Random Intercept,-867.8883647,-852.4400988,-866.9550314,0.766736728,FALSE
log,just,just,sq,Random Slope,-891.8614064,-853.2407417,-885.9354804,0.959154625,TRUE
log,just,just,sq,Random Slope + Intercept,-891.8614064,-853.2407417,-885.9354804,0.959154625,TRUE
log,just,just,cub,Random Intercept,-1288.223468,-1272.775202,-1287.290135,0.660984982,FALSE
log,just,just,cub,Random Slope,-1326.232859,-1287.612194,-1320.306933,0.961230594,TRUE
log,just,just,cub,Random Slope + Intercept,-1326.232859,-1287.612194,-1320.306933,0.961230594,TRUE
sqrt,just,just,just,Random Intercept,-449.159475,-433.7112091,-448.2261417,0.831231427,FALSE
sqrt,just,just,just,Random Slope,-456.7609577,-418.140293,-450.8350318,0.969922137,TRUE
sqrt,just,just,just,Random Slope + Intercept,-456.7609577,-418.140293,-450.8350318,0.969922137,TRUE
log,inv,inv,log,Random Slope,191.3356133,229.956278,197.2615393,0.935310118,FALSE
sqrt,just,just,log,Random Slope,234.6351343,273.255799,240.5610602,0.905261901,TRUE
sqrt,just,just,log,Random Slope + Intercept,234.6351343,273.255799,240.5610602,0.905261901,TRUE
sqrt,just,just,sqrt,Random Intercept,-267.6377488,-252.1894829,-266.7044154,0.849744774,FALSE
sqrt,just,just,sqrt,Random Slope,-267.7119614,-229.0912967,-261.7860355,0.957848931,TRUE
sqrt,just,just,sqrt,Random Slope + Intercept,-267.7119614,-229.0912967,-261.7860355,0.957848931,TRUE
sqrt,just,just,inv,Random Intercept,1291.758452,1307.206718,1292.691785,0.596865566,FALSE
sqrt,just,just,inv,Random Slope,1283.992002,1322.612666,1289.917928,0.673896979,TRUE
sqrt,just,just,inv,Random Slope + Intercept,1283.992002,1322.612666,1289.917928,0.673896979,TRUE
sqrt,just,just,inv_sqrt,Random Intercept,590.0199703,605.4682361,590.9533036,0.741365307,FALSE
sqrt,just,just,inv_sqrt,Random Slope,582.1505842,620.7712489,588.0765102,0.697158236,TRUE
sqrt,just,just,inv_sqrt,Random Slope + Intercept,582.1505842,620.7712489,588.0765102,0.697158236,TRUE
sqrt,just,just,sq,Random Intercept,-864.0232029,-848.574937,-863.0898695,0.746373003,FALSE
sqrt,just,just,sq,Random Slope,-889.4364513,-850.8157866,-883.5105254,0.975670588,TRUE
sqrt,just,just,sq,Random Slope + Intercept,-889.4364513,-850.8157866,-883.5105254,0.975670588,TRUE
sqrt,just,just,cub,Random Intercept,-1285.086029,-1269.637763,-1284.152695,0.616058402,FALSE
sqrt,just,just,cub,Random Slope,-1321.963599,-1283.342934,-1316.037673,0.97747411,TRUE
sqrt,just,just,cub,Random Slope + Intercept,-1321.963599,-1283.342934,-1316.037673,0.97747411,TRUE
inv,just,just,just,Random Intercept,-463.2682623,-447.8199965,-462.334929,0.833499324,FALSE
inv,just,just,just,Random Slope,-461.848821,-423.2281564,-455.9228951,0.900112981,TRUE
inv,just,just,just,Random Slope + Intercept,-461.848821,-423.2281564,-455.9228951,0.900112981,TRUE
log,inv,inv,log,Random Slope + Intercept,191.3356133,229.956278,197.2615393,0.935310118,FALSE
inv,just,just,log,Random Slope,230.668881,269.2895457,236.5948069,0.850622759,TRUE
inv,just,just,log,Random Slope + Intercept,230.668881,269.2895457,236.5948069,0.850622759,TRUE
inv,just,just,sqrt,Random Intercept,-280.7605601,-265.3122942,-279.8272267,0.839542479,FALSE
inv,just,just,sqrt,Random Slope,-273.2245211,-234.6038565,-267.2985952,0.885747468,TRUE
inv,just,just,sqrt,Random Slope + Intercept,-273.2245211,-234.6038565,-267.2985952,0.885747468,TRUE
inv,just,just,inv,Random Intercept,1278.179784,1293.62805,1279.113117,0.58960548,FALSE
inv,just,just,inv,Random Slope,1282.653683,1321.274347,1288.579609,0.61560718,TRUE
inv,just,just,inv,Random Slope + Intercept,1282.653683,1321.274347,1288.579609,0.61560718,TRUE
