LDMC_trans,LMA_trans,CHL_trans,grt_trans,Model,AIC,R2,Singular_fit
identity,identity,identity,identity,Random Intercept,-442.1440932280387,0.821651528812931,FALSE
identity,identity,identity,identity,Random Slope,-452.20365797761747,0.8141945869439597,TRUE
identity,identity,identity,identity,Random Slope + Intercept,-457.61652241668793,0.9489292104527861,FALSE
identity,identity,identity,log,Random Intercept,242.83829936430988,0.8279077632508046,FALSE
identity,identity,identity,log,Random Slope,228.66591541818428,0.7964656738851364,FALSE
identity,identity,identity,log,Random Slope + Intercept,231.88254241314354,0.8986892957389797,FALSE
identity,identity,identity,sqrt,Random Intercept,-260.65886293816374,0.8440830749395591,FALSE
identity,identity,identity,sqrt,Random Slope,-271.6283183256163,0.8355253574771371,TRUE
identity,identity,identity,sqrt,Random Slope + Intercept,-270.90707406773004,0.9480261998580055,FALSE
identity,identity,identity,inv,Random Intercept,1298.5225655227284,0.5782118593109999,FALSE
identity,identity,identity,inv,Random Slope,1288.195995815796,0.5507070682014973,TRUE
identity,identity,identity,inv,Random Slope + Intercept,1290.1012068588236,0.7930034349401095,FALSE
identity,identity,identity,inv_sqrt,Random Intercept,596.8337821175495,0.7323251376682298,FALSE
identity,identity,identity,inv_sqrt,Random Slope,580.1625468537878,0.6884082256217315,TRUE
identity,identity,identity,inv_sqrt,Random Slope + Intercept,582.5745679861575,0.8207149758030323,FALSE
identity,identity,identity,sq,Random Intercept,-857.5207335670797,0.7206510218033908,FALSE
identity,identity,identity,sq,Random Slope,-870.45645964818,0.662495436427801,TRUE
identity,identity,identity,sq,Random Slope + Intercept,-887.0519226748938,0.9606136707646625,FALSE
identity,identity,identity,cub,Random Intercept,-1279.5622982062582,0.566594645917425,FALSE
identity,identity,identity,cub,Random Slope,-1295.0884034549795,0.5156030483846691,TRUE
identity,identity,identity,cub,Random Slope + Intercept,-1316.9167012681871,0.9612273047219071,TRUE
log,identity,identity,identity,Random Intercept,-453.2150896535667,0.8363054853836482,FALSE
log,identity,identity,identity,Random Slope,-460.0892855580211,0.7932775713642282,TRUE
log,identity,identity,identity,Random Slope + Intercept,-462.5706185349582,0.9328350831496509,TRUE
log,identity,identity,log,Random Intercept,232.31579345789805,0.8318504259801142,FALSE
log,identity,identity,log,Random Slope,221.59700670896572,0.8013829658020298,TRUE
log,identity,identity,log,Random Slope + Intercept,227.57363211602163,0.8016681677391229,TRUE
log,identity,identity,sqrt,Random Intercept,-271.48279934554677,0.850721407108089,FALSE
log,identity,identity,sqrt,Random Slope,-278.3985896091471,0.8101235211551477,TRUE
log,identity,identity,sqrt,Random Slope + Intercept,-275.06838032941585,0.9192459553172783,TRUE
log,identity,identity,inv,Random Intercept,1287.9357861531091,0.6048490375752841,FALSE
log,identity,identity,inv,Random Slope,1279.4926282571269,0.6299529178246521,TRUE
log,identity,identity,inv,Random Slope + Intercept,1284.5166659297256,0.6408766959932374,TRUE
log,identity,identity,inv_sqrt,Random Intercept,586.2924536270679,0.7421705282864223,FALSE
log,identity,identity,inv_sqrt,Random Slope,573.8658436639046,0.7401167395883356,TRUE
log,identity,identity,inv_sqrt,Random Slope + Intercept,579.4419394277126,0.7524154655084513,TRUE
log,identity,identity,sq,Random Intercept,-867.8883646842587,0.7667367277055038,FALSE
log,identity,identity,sq,Random Slope,-879.3183005049483,0.7329810193081402,TRUE
log,identity,identity,sq,Random Slope + Intercept,-897.8249958419179,0.978840866016345,TRUE
log,identity,identity,cub,Random Intercept,-1288.2234679038002,0.6609849822090059,FALSE
log,identity,identity,cub,Random Slope,-1304.0018063061348,0.672058035076166,TRUE
log,identity,identity,cub,Random Slope + Intercept,-1328.6720245724698,0.9795585616490783,TRUE
sqrt,identity,identity,identity,Random Intercept,-449.1594750022739,0.8312314271732193,FALSE
sqrt,identity,identity,identity,Random Slope,-457.6751360783889,0.8045144946635107,TRUE
sqrt,identity,identity,identity,Random Slope + Intercept,-462.6717450883725,0.9615479035917789,TRUE
sqrt,identity,identity,log,Random Intercept,235.97048719442392,0.8327619878459808,FALSE
sqrt,identity,identity,log,Random Slope,222.51423675329667,0.818814628045881,TRUE
sqrt,identity,identity,log,Random Slope + Intercept,228.11540258971974,0.8241110929637511,TRUE
sqrt,identity,identity,sqrt,Random Intercept,-267.6377487819542,0.8497447739338333,FALSE
sqrt,identity,identity,sqrt,Random Slope,-276.56997594471255,0.8238224975359282,TRUE
sqrt,identity,identity,sqrt,Random Slope + Intercept,-275.19916533917126,0.9544469279991452,TRUE
sqrt,identity,identity,inv,Random Intercept,1291.7584521171548,0.5968655664777625,FALSE
sqrt,identity,identity,inv,Random Slope,1281.6837884904144,0.6554664588629218,TRUE
