LDMC_trans,LMA_trans,CHL_trans,Model,AIC,R2,Singular_fit
identity,identity,identity,Random Intercept,-442.1440932,0.821651529,FALSE
identity,identity,identity,Random Slope,-452.203658,0.814194587,TRUE
identity,identity,identity,Random Slope + Intercept,-457.6165224,0.94892921,FALSE
log,identity,identity,Random Intercept,-453.2150897,0.836305485,FALSE
log,identity,identity,Random Slope,-460.0892856,0.793277571,TRUE
log,identity,identity,Random Slope + Intercept,-462.5706185,0.932835083,TRUE
sqrt,identity,identity,Random Intercept,-449.159475,0.831231427,FALSE
sqrt,identity,identity,Random Slope,-457.6751361,0.804514495,TRUE
sqrt,identity,identity,Random Slope + Intercept,-462.6717451,0.961547904,TRUE
inv,identity,identity,Random Intercept,-463.2682623,0.833499324,FALSE
inv,identity,identity,Random Slope,-467.080225,0.768568328,TRUE
inv,identity,identity,Random Slope + Intercept,-472.4256529,0.962557662,TRUE
inv_sqrt,identity,identity,Random Intercept,-459.7740087,0.836874161,FALSE
inv_sqrt,identity,identity,Random Slope,-465.0477214,0.781101425,TRUE
inv_sqrt,identity,identity,Random Slope + Intercept,-470.4861547,0.969149228,TRUE
sq,identity,identity,Random Intercept,-429.3762636,0.792168377,FALSE
sq,identity,identity,Random Slope,-437.7958702,0.972229877,FALSE
sq,identity,identity,Random Slope + Intercept,-436.0172091,0.981819451,TRUE
cub,identity,identity,Random Intercept,-417.5089667,0.758011372,FALSE
cub,identity,identity,Random Slope,-415.6958306,0.99982269,TRUE
cub,identity,identity,Random Slope + Intercept,-409.9830098,0.999895294,TRUE
identity,log,identity,Random Intercept,-448.9525382,0.848574381,FALSE
identity,log,identity,Random Slope,-458.0102872,0.826415702,TRUE
identity,log,identity,Random Slope + Intercept,-461.3766558,0.924620773,FALSE
log,log,identity,Random Intercept,-460.7077148,0.863314331,FALSE
log,log,identity,Random Slope,-466.5422459,0.81047165,TRUE
log,log,identity,Random Slope + Intercept,-468.0065385,0.936857392,TRUE
sqrt,log,identity,Random Intercept,-456.3418992,0.858170433,FALSE
sqrt,log,identity,Random Slope,-463.8168412,0.81929518,TRUE
sqrt,log,identity,Random Slope + Intercept,-468.2650014,0.967043865,FALSE
inv,log,identity,Random Intercept,-471.0545088,0.860796361,FALSE
inv,log,identity,Random Slope,-473.9858153,0.789395741,FALSE
inv,log,identity,Random Slope + Intercept,-477.712352,0.968542558,TRUE
inv_sqrt,log,identity,Random Intercept,-467.4732581,0.86402593,FALSE
inv_sqrt,log,identity,Random Slope,-471.761832,0.800426239,TRUE
inv_sqrt,log,identity,Random Slope + Intercept,-475.6930657,0.968778301,TRUE
sq,log,identity,Random Intercept,-435.4281757,0.818740219,FALSE
sq,log,identity,Random Slope,-446.8747914,0.84710895,TRUE
sq,log,identity,Random Slope + Intercept,-448.6140306,0.957988171,TRUE
cub,log,identity,Random Intercept,-422.9722028,0.783074567,FALSE
cub,log,identity,Random Slope,-432.1035794,0.97878104,TRUE
cub,log,identity,Random Slope + Intercept,-426.9573533,0.861822035,TRUE
identity,sqrt,identity,Random Intercept,-446.9899982,0.836848697,FALSE
identity,sqrt,identity,Random Slope,-455.7067666,0.800404694,FALSE
identity,sqrt,identity,Random Slope + Intercept,-457.2873513,0.87956163,FALSE
log,sqrt,identity,Random Intercept,-458.4025418,0.851520368,FALSE
log,sqrt,identity,Random Slope,-464.8712767,0.803020623,TRUE
log,sqrt,identity,Random Slope + Intercept,-468.444725,0.954045901,TRUE
sqrt,sqrt,identity,Random Intercept,-454.1939616,0.846445617,FALSE
sqrt,sqrt,identity,Random Slope,-462.3182572,0.813028387,TRUE
sqrt,sqrt,identity,Random Slope + Intercept,-467.4245991,0.968715587,TRUE
inv,sqrt,identity,Random Intercept,-468.5883258,0.848680295,FALSE
inv,sqrt,identity,Random Slope,-472.0402893,0.780001691,FALSE
inv,sqrt,identity,Random Slope + Intercept,-475.4261102,0.937933496,TRUE
inv_sqrt,sqrt,identity,Random Intercept,-465.0589223,0.852088029,FALSE
inv_sqrt,sqrt,identity,Random Slope,-469.9379654,0.791894889,FALSE
inv_sqrt,sqrt,identity,Random Slope + Intercept,-474.5972531,0.969253642,TRUE
sq,sqrt,identity,Random Intercept,-433.834485,0.807041116,FALSE
sq,sqrt,identity,Random Slope,-440.2950077,0.992376324,TRUE
sq,sqrt,identity,Random Slope + Intercept,-443.1118023,0.842322488,TRUE
cub,sqrt,identity,Random Intercept,-421.6634887,0.771860076,FALSE
cub,sqrt,identity,Random Slope,-413.5550168,0.99999132,TRUE
cub,sqrt,identity,Random Slope + Intercept,-421.3205533,0.970916875,TRUE
identity,inv,identity,Random Intercept,-454.7226721,0.861418884,FALSE
identity,inv,identity,Random Slope,-461.9090428,0.819968644,FALSE
identity,inv,identity,Random Slope + Intercept,-457.2499083,0.837316942,TRUE
log,inv,identity,Random Intercept,-467.0409277,0.87651303,FALSE
log,inv,identity,Random Slope,-471.3015606,0.8177696,TRUE
log,inv,identity,Random Slope + Intercept,-469.0460632,0.89212207,TRUE
sqrt,inv,identity,Random Intercept,-462.4020564,0.871053479,FALSE
sqrt,inv,identity,Random Slope,-468.1941123,0.824775736,FALSE
sqrt,inv,identity,Random Slope + Intercept,-464.8906349,0.871669341,TRUE
inv,inv,identity,Random Intercept,-477.7723338,0.875349687,FALSE
