SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,unique_id,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,,,,,,,,,,umol+1m-2s-1,,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,14:33:51,2024-05-14,DURIN config,Nicole Bison,,34521,,,0.009427,2.918142,0.009397,0.129357,1.283998,1.280344,2.650299,1.366301,12.649397,12.685506,26.184134,0.441786,7.500000,PSF-00189_20240514143351_33b,0.000000,0.000000,0.000000,107.449295,426.516663,0.748077,0.5,0.80,11.716195,1.000000,48.76,48.62,21.88,21.98,21.98,101.22,156.3,155.8,0.3,39,3.853,14:31:06,2024-05-14,-0.55,1,-0.000,-0.001,-9999.000,0.073,-0.033,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.445070,2.509558,1.652088,0.930480,0.309020,0.002606,0.101581,0.140273,107.449295,0.000456,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514143351_33b,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
2,14:38:23,2024-05-14,DURIN config,Nicole Bison,,33847,,,0.010454,2.915994,0.010417,0.176162,1.324595,1.319612,2.999709,1.675114,13.037774,13.087010,29.637148,0.441786,7.500000,PSF-00189_20240514143823_7bf,0.000000,0.000000,0.000000,141.209000,463.019012,0.695025,0.5,0.80,16.387129,1.000000,47.72,47.54,22.74,24.03,24.03,101.21,156.0,156.0,-0.0,59,3.853,14:31:06,2024-05-14,-0.55,1,-0.000,-0.000,-9999.000,0.942,2.811,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.443405,2.507835,1.649839,0.930973,0.298493,0.016392,0.136399,0.156889,141.209000,0.000458,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514143823_7bf,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
3,14:41:01,2024-05-14,DURIN config,Nicole Bison,,35208,,,0.003606,2.916871,0.003602,0.051621,1.349679,1.348220,2.770621,1.420942,13.321214,13.335628,27.375378,0.441786,7.500000,PSF-00189_20240514144101_ac0,0.000000,0.000000,0.000000,109.891891,420.620789,0.738739,0.5,0.80,15.192058,1.000000,47.32,47.27,23.19,22.71,22.71,101.21,156.1,155.5,0.4,51,3.848,14:31:06,2024-05-14,-0.55,1,-0.001,-0.000,-9999.000,-0.219,-0.468,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.442940,2.507150,1.650756,0.929793,0.293196,-0.004196,0.154657,0.150565,109.891891,0.000448,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514144101_ac0,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
4,14:42:53,2024-05-14,DURIN config,Nicole Bison,,36038,,,0.012217,2.917442,0.012166,0.194184,1.374425,1.368941,2.955184,1.580760,13.526550,13.580735,29.200274,0.441786,7.500000,PSF-00189_20240514144253_616,0.000000,0.000000,0.000000,112.907051,467.303741,0.758386,0.5,0.80,15.832957,1.000000,47.25,47.06,23.51,23.78,23.78,101.20,156.2,155.9,0.2,52,3.846,14:41:19,2024-05-14,-0.61,1,-0.001,-0.002,-9999.000,0.828,1.364,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.442582,2.507061,1.651354,0.930734,0.289396,0.004425,0.167061,0.151220,112.907051,0.000444,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514144253_616,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
5,14:45:15,2024-05-14,DURIN config,Nicole Bison,,36731,,,0.002821,2.917342,0.002818,0.041377,1.400322,1.399154,2.855028,1.454706,13.823511,13.835054,28.207422,0.441786,7.500000,PSF-00189_20240514144515_182,0.000000,0.000000,0.000000,122.919556,444.301117,0.723342,0.5,0.80,12.944168,1.000000,47.22,47.18,23.84,23.21,23.21,101.22,156.2,155.9,0.2,45,3.812,14:41:19,2024-05-14,-0.61,1,-0.000,-0.001,-9999.000,0.305,0.349,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.442669,2.506938,1.651249,0.930585,0.285704,-0.006014,0.182162,0.144961,122.919556,0.000436,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514144515_182,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
6,14:46:41,2024-05-14,DURIN config,Nicole Bison,,38025,,,0.015013,2.918758,0.014936,0.224935,1.411331,1.404987,2.903199,1.491868,13.880424,13.943100,28.681856,0.441786,7.500000,PSF-00189_20240514144641_c32,0.000000,0.000000,0.000000,117.686035,460.951569,0.744689,0.5,0.80,16.392921,1.000000,47.06,46.85,24.02,23.48,23.48,101.22,156.3,155.8,0.4,55,3.841,14:41:19,2024-05-14,-0.61,1,-0.000,-0.000,-9999.000,0.124,0.629,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.442183,2.506668,1.652736,0.930353,0.283601,-0.004955,0.190935,0.153605,117.686035,0.000442,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514144641_c32,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
7,14:49:16,2024-05-14,DURIN config,Nicole Bison,,38386,,,0.057032,2.916808,0.055939,0.848342,1.489482,1.465537,2.990592,1.501109,14.478516,14.715080,29.545027,0.441786,7.500000,PSF-00189_20240514144916_2ed,0.000000,0.000000,0.000000,128.512497,468.302979,0.725578,0.5,0.80,16.383541,1.000000,48.78,48.00,24.32,23.98,23.98,101.22,156.1,150.8,3.4,56,3.807,14:41:19,2024-05-14,-0.61,1,-0.000,-0.001,-9999.000,-0.867,-1.845,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.443672,2.509094,1.650689,0.917696,0.280217,-0.002731,0.206427,0.154795,128.512497,0.000429,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514144916_2ed,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
8,14:53:29,2024-05-14,DURIN config,Nicole Bison,,35764,,,0.002848,2.917869,0.002845,0.044456,1.488442,1.487189,3.034603,1.546161,14.694051,14.706437,29.983160,0.441786,7.500000,PSF-00189_20240514145329_b3a,0.000000,0.000000,0.000000,105.824234,417.736877,0.746673,0.5,0.80,14.004771,1.000000,47.76,47.72,24.66,24.22,24.22,101.21,156.2,152.3,2.5,47,3.824,14:41:19,2024-05-14,-0.61,1,-0.001,-0.002,-9999.000,0.045,0.116,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.443211,2.507520,1.651802,0.921661,0.276398,-0.003932,0.230326,0.146769,105.824234,0.000443,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514145329_b3a,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
