flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00189_20240514151530_942,15:15:30,2024-05-14,PFA-00183,PSA-00195,PSF-00189,0.000000,0.000000,0.000000,456.410767,117.231133,0.743146,42.773907

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,276.525024,6992.402832
0.010000,381.258118,6992.402832
0.020000,400.404816,6992.402832
0.030000,416.808136,6992.402832
0.040000,433.121674,6992.402832
0.050000,444.490326,6992.402832
0.060000,450.733795,6992.402832
0.070000,453.929901,6992.402832
0.080000,455.492371,6992.402832
0.090000,456.191528,6992.402832
0.100000,456.410767,6992.402832
0.110000,456.347809,6992.402832
0.120000,456.150421,6992.402832
0.130000,455.859650,6992.402832
0.140000,455.514893,6992.402832
0.150000,455.120453,6992.402832
0.160000,454.724182,6992.402832
0.170000,454.248901,6992.402832
0.180000,453.782562,6992.402832
0.190000,453.298340,6992.402832
0.200000,452.864899,6992.402832
0.210000,452.369202,6992.402832
0.220000,451.879272,6992.402832
0.230000,451.439026,6992.402832
0.240000,450.955872,6992.402832
0.250000,450.516357,6992.402832
0.260000,450.056427,6992.402832
0.270000,449.604736,6992.402832
0.280000,449.160217,6992.402832
0.290000,448.719269,6992.402832
0.300000,448.301208,6992.402832
0.310000,447.865234,6992.402832
0.320000,447.441467,6992.402832
0.330000,447.047699,6992.402832
0.340000,446.641449,6992.402832
0.350000,446.251617,6992.402832
0.360000,445.870056,6992.402832
0.370000,445.501343,6992.402832
0.380000,445.129395,6992.402832
0.390000,444.777130,6992.402832
0.400000,444.433807,6992.402832
0.410000,444.070801,6992.402832
0.420000,443.744659,6992.402832
0.430000,443.408478,6992.402832
0.440000,443.094482,6992.402832
0.450000,442.785156,6992.402832
0.460000,442.486511,6992.402832
0.470000,442.178253,6992.402832
0.480000,441.909668,6992.402832
0.490000,441.649323,6992.402832
0.500000,441.386475,6992.402832
0.510000,441.108215,6992.402832
0.520000,440.891144,6992.402832
0.530000,440.671204,6992.402832
0.540000,440.438385,6992.402832
0.550000,440.240265,6992.402832
0.560000,440.030334,6992.402832
0.570000,439.860107,6992.402832
0.580000,439.688812,6992.402832
0.590000,439.512482,6992.402832
0.600000,439.388031,6992.402832
0.610000,439.186707,6992.402832
0.620000,439.053650,6992.402832
0.630000,438.900604,6992.402832
0.640000,438.763977,6992.402832
0.650000,438.621643,6992.402832
0.660000,438.506836,6992.402832
0.670000,438.395966,6992.402832
0.680000,438.308350,6992.402832
0.690000,438.206421,6992.402832
0.700000,438.128815,6992.402832
0.710000,438.022247,6992.402832
0.720000,437.948242,6992.402832
0.730000,437.861328,6992.402832
0.740000,437.801971,6992.402832
0.750000,437.703613,6992.402832
0.760000,437.632812,6992.402832
0.770000,437.560211,6992.402832
0.780000,437.503693,6992.402832
0.790000,437.426819,6992.402832
