"barcodeID","sampleID","species","treatment_mmol","CHL","CAR","ANT","N","PROT","CBC"
20107,"BO_R5_35","B. officinalis",35,59.5765492101054,12.9275595600124,3.69284244742767,1.90489275208703,0.006,0.00966017037452535
20773,"BO_R5_15","B. officinalis",15,48.0229347791138,10.9716124222182,2.30710311005996,1.85721819069425,0.006,0.0101328475066093
20840,"RA_R1_25","H. vulgare",25,44.773656592054,11.1234469323815,2.48198681002315,1.60854795037039,0.006,0.0134851661981326
20913,"RA_R2_25","H. vulgare",25,47.1465637116822,12.2712214615641,2.33889070113148,1.54619441523246,0.006,0.0118954241662515
21589,"BO_R4_25","B. officinalis",25,53.6890729361633,11.5501941074459,3.02977098753291,1.85738511875271,0.006,0.0132126461888563
21941,"BO_R3_15","B. officinalis",15,44.1479230726562,11.2904832871802,1.95495064484652,1.69548024512636,0.006,0.00901921494342059
21991,"BO_R3_25","B. officinalis",25,54.5268745447267,12.691756100196,3.26909386711252,1.85228843975529,0.006,0.0118339164592566
22209,"BO_R3_30","B. officinalis",30,53.3460080308346,11.5402875425934,2.41557050102677,1.75157265952481,0.006,0.0082397194477384
22283,"BO_R1_35","B. officinalis",35,44.8344241709728,10.8911814804194,2.40875155025052,1.86299488726801,0.006,0.0107341909556759
22303,"BO_R4_15","B. officinalis",15,39.2325382410054,9.57708560082275,1.79160981469817,1.69553358709263,0.006,0.00921646575159184
22603,"BO_R5_5","B. officinalis",5,34.3230901899839,9.08362468060971,1.33133052870727,1.82048725987021,0.006,0.0159071046045369
22612,"RA_R2_20","H. vulgare",20,58.1584528059589,14.7528152170669,4.10096699845131,1.78311415885919,0.006,0.0136445657086233
22702,"RA_R3_20","H. vulgare",20,52.8131553348425,13.4825370320866,4.07440897255077,1.95478300784946,0.006,0.0182834205769111
23401,"BO_R3_35","B. officinalis",35,55.35949457367,12.18376905904,3.63889956003406,1.85631985202798,0.006,0.0109886910195104
23461,"RA_R3_5","H. vulgare",5,39.8334605708603,10.6330293794359,1.87942503861251,1.71588352509589,0.006,0.0144725281910899
23588,"BO_R3_5","B. officinalis",5,27.7479059061711,7.19240982987356,0.840367264845201,1.65686604027387,0.006,0.0111622267963454
23641,"BO_R2_20","B. officinalis",20,41.7384343937335,10.2783526524061,2.00517215865014,1.67496721873351,0.006,0.00976339676620233
24159,"RA_R4_5","H. vulgare",5,48.3994860949543,12.8549333286688,2.83068330291688,1.86465764724449,0.006,0.015793995562811
24199,"BO_R2_35","B. officinalis",35,42.4833405187017,9.13864209643251,2.17931261858627,1.70428707911144,0.006,0.00801984632370106
24341,"BO_R4_5","B. officinalis",5,28.1234432567726,7.33031933820532,0.721603310354817,1.78966943698329,0.006,0.00981007910853606
24427,"BO_R5_25","B. officinalis",25,55.657984153589,12.6053285880652,3.1070512587422,1.90281374198524,0.006,0.0101294109694145
24543,"RA_R3_10","H. vulgare",10,46.381138688822,11.9851335125107,2.4469503301031,1.64489177603318,0.006,0.0129965269045379
24604,"BO_R1_15","B. officinalis",15,60.2534739021433,13.1839705604561,3.39514243961212,1.70592267347024,0.006,0.0105780929473142
