"barcodeID","sampleID","species","treatment_mmol","N","CHL","CAR","ANT"
20107,"BO_R5_35","B. officinalis",35,1.80436669190405,55.2073679944767,11.8956060705607,3.74086318592931
20773,"BO_R5_15","B. officinalis",15,1.74463143187407,44.2246977895499,10.0687912288619,2.3416301278656
20840,"RA_R1_25","H. vulgare",25,1.42807110443766,39.2606123842587,9.72459695102326,2.36249814802592
20913,"RA_R2_25","H. vulgare",25,1.41435443805831,42.4200281362964,11.0208652838161,2.31045506179118
21589,"BO_R4_25","B. officinalis",25,1.64560493430143,46.9378966388954,10.0290609958372,2.8853740625403
21941,"BO_R3_15","B. officinalis",15,1.6325515351806,41.6491343658189,10.6512981990496,2.02325397043733
21991,"BO_R3_25","B. officinalis",25,1.683889343103,48.8324888673436,11.309663001249,3.17124309623374
22209,"BO_R3_30","B. officinalis",30,1.71131538010198,50.687367541754,10.9013509945246,2.58657030110359
22283,"BO_R1_35","B. officinalis",35,1.7296893453598,40.9934218864339,9.93930438225719,2.37933768304535
22303,"BO_R4_15","B. officinalis",15,1.62653215070822,36.9059194326898,9.01016648454432,1.83439299691659
22603,"BO_R5_5","B. officinalis",5,1.54019111045834,29.0107161599578,7.67211608966235,1.21759402068549
22612,"RA_R2_20","H. vulgare",20,1.57051081721468,50.675541687682,12.7910108624549,3.82592629807532
22702,"RA_R3_20","H. vulgare",20,1.58038175129197,42.8802704278723,10.8850826078042,3.44886815629214
23401,"BO_R3_35","B. officinalis",35,1.71506899766545,50.4574697560291,10.9887519462166,3.55253002446186
23461,"RA_R3_5","H. vulgare",5,1.4928354398037,34.4304651436858,9.16141280716464,1.75829134256823
23588,"BO_R3_5","B. officinalis",5,1.53302760478179,25.3668294814378,6.59966931605721,0.82718012719596
23641,"BO_R2_20","B. officinalis",20,1.59021001977538,38.8854295543863,9.56732116022947,2.03660478846474
24159,"RA_R4_5","H. vulgare",5,1.57780169781576,40.866884351861,10.8172572950988,2.5401724359702
24199,"BO_R2_35","B. officinalis",35,1.67418353272235,40.849469361865,8.99012393986888,2.20477201806853
24341,"BO_R4_5","B. officinalis",5,1.69494339784341,26.2601712530784,6.87400418990705,0.726462022406383
24427,"BO_R5_25","B. officinalis",25,1.7858302497917,51.1801736177909,11.5295594805528,3.13339789407886
24543,"RA_R3_10","H. vulgare",10,1.47159302150867,40.9517323971826,10.5582747529733,2.35392301711017
24604,"BO_R1_15","B. officinalis",15,1.59293989999495,55.001850424089,11.9392844453878,3.43267978781391
24762,"BO_R2_15","B. officinalis",15,1.82509298842762,19.5306880175012,6.08888455730234,0.967774187317071
24778,"BO_R2_10","B. officinalis",10,1.66347791280292,32.9414262865398,8.09570119618309,1.41477238113339
24781,"RA_R4_25","H. vulgare",25,1.53044985503318,40.2429905584002,9.73239949561413,2.46244187749148
24837,"RA_R1_10","H. vulgare",10,1.77282018369906,46.8052375814416,11.3688990958303,3.23755582573122
24994,"BO_R5_0","B. officinalis",0,1.46708004690895,17.2390079090797,4.78227828501191,0.449592133819854
25315,"BO_R4_30","B. officinalis",30,1.76175278735878,19.9058963334941,5.93074971129907,0.420574257542414
25506,"BO_R1_20","B. officinalis",20,1.63803861038829,43.6328649598567,10.3789166540051,2.44805168813136
25661,"BO_R1_30","B. officinalis",30,1.54300661056201,44.5013249066151,10.9202075343636,2.9681299033441
25724,"RA_R2_5","H. vulgare",5,1.48119737157051,28.9507177540783,7.69759487149165,1.17846730895908
25910,"RA_R5_25","H. vulgare",25,1.57046481897097,41.1089234711608,10.5969090448789,2.4152296868961
26068,"BO_R1_5","B. officinalis",5,1.80103567683505,34.3272918238644,8.32456199822451,1.69109716340326
26204,"RA_R5_15","H. vulgare",15,1.61902744427161,46.0418455783877,11.6981839397873,3.28340697554838
26289,"RA_R2_10","H. vulgare",10,1.4629569530217,38.0101825334189,9.8069305067822,1.55033170593646
26547,"BO_R2_30","B. officinalis",30,1.74705332376129,49.4778599844756,10.4444726496179,3.33573802784053
26642,"RA_R4_10","H. vulgare",10,1.61078849710241,40.9450095318035,9.77825870594573,2.90736926496376
26743,"BO_R5_10","B. officinalis",10,1.61525761786138,41.990646913617,9.70083407204745,2.65466990885743
26824,"RA_R1_5","H. vulgare",5,1.54581670639501,32.4417359725354,8.99231220013776,1.11020294305242
27057,"HO_R3_25","R. sativus",25,1.42391942389418,28.3120448758997,6.3704365162221,0.501776128816429
27059,"BO_R2_25","B. officinalis",25,1.67981916258986,47.6546790445499,11.3802384226235,2.89701022309949
27120,"BO_R3_10","B. officinalis",10,1.68021361020289,43.5811026505754,9.46743972039456,2.92464949673897
27375,"RA_R5_5","H. vulgare",5,1.56675348771067,31.721126496838,8.25431509873379,1.17293745108452
27387,"RA_R5_20","H. vulgare",20,1.46357062593243,47.8942069360424,11.138111398788,3.52540070989748
27480,"RA_R5_10","H. vulgare",10,1.66212694032295,49.3402585130646,11.631903809685,2.81887585688136
27901,"BO_R2_0","B. officinalis",0,1.59328721459764,6.2558257357359,2.15857590612644,6.96650386148205e-21
27967,"BO_R4_10","B. officinalis",10,1.6433316268247,41.191497766927,10.0557885559093,2.34952351136163
28155,"BO_R3_20","B. officinalis",20,1.65630522940833,45.7437135281986,9.72555660356194,2.7244585091454
28163,"BO_R4_35","B. officinalis",35,1.83989211516844,56.0604932522947,10.9180521050967,3.74391261675277
28395,"BO_R5_30","B. officinalis",30,1.75267794070974,41.9104379878668,9.78132436550955,2.49352186881683
28679,"RA_R5_30","H. vulgare",30,1.37122323698304,42.640894916075,10.7647721667642,2.55398720981547
28762,"RA_R4_15","H. vulgare",15,1.43313780610933,33.8457353520861,9.1402017606509,2.09864165114068
28832,"BO_R1_10","B. officinalis",10,1.67354815959356,35.6280687066227,8.99345328981784,1.40295580400595
28882,"BO_R4_20","B. officinalis",20,1.58207860803232,51.2935866901342,11.4241270030181,3.63974329603256
29332,"BO_R5_20","B. officinalis",20,1.92393877059107,51.0603034381055,11.2455821560121,3.90307680194969
29706,"BO_R1_25","B. officinalis",25,1.65127469010566,44.3892868657731,9.90529736380667,2.58813302003502
29801,"BO_R2_5","B. officinalis",5,1.61025024912184,30.3981865508183,7.86793798681245,1.27579097631514
30529,"RA_R5_35","H. vulgare",35,1.42612374918238,40.9794992856711,11.0576105474741,2.22233474814413
30771,"RA_R3_30","H. vulgare",30,1.38242022111372,47.446449738745,12.4432863689546,3.43677002613367
30786,"HO_R1_20","R. sativus",20,1.58495585182129,41.2161202862264,9.28769128201064,0.833448606393299
31552,"HO_R1_10","R. sativus",10,1.25673713928222,31.3042504221001,7.37709926107715,0.385578986697075
32137,"RA_R1_35","H. vulgare",35,1.48404088977551,44.9218742185685,11.7556509094359,3.77134642955349
32196,"RA_R1_20","H. vulgare",20,1.5368218365488,41.4061380553426,10.6579230376209,2.98024364837169
32374,"RA_R5_0","H. vulgare",0,1.72317412358296,24.6711299731468,7.09486971792701,0.78067405195955
32908,"RA_R1_30","H. vulgare",30,1.43586850575964,37.3031683652452,8.928627391438,2.30619226255599
33847,"HO_R2_35","R. sativus",35,1.1450823929401,27.3734682997633,6.60821074883365,0.386971869636873
33900,"RA_R2_15","H. vulgare",15,1.44736675111924,26.3970277766456,7.18518082025112,2.00056913829681
34121,"RA_R4_0","H. vulgare",0,1.59734599037523,31.3018882614647,8.66954671925451,1.65781732219449
34122,"HO_R4_15","R. sativus",15,1.37526515133412,45.0437270519845,10.9744496199373,0.558833400529737
34521,"HO_R1_35","R. sativus",35,1.3943045993716,40.2816381981516,9.6214325975901,0.441757355583412
34680,"HO_R3_15","R. sativus",15,1.35560014292991,38.5324469361731,9.18625548045646,0.458298870449697
35106,"HO_R2_15","R. sativus",15,1.43171766277602,43.3647996840809,10.1090292533576,0.583218579914035
35208,"HO_R3_35","R. sativus",35,1.25114616427143,36.1173577070161,8.36636700214688,0.395535165602015
35222,"RA_R2_30","H. vulgare",30,1.52741005397731,43.2578576720285,10.9477048345118,3.04920150307357
35469,"HO_R3_10","R. sativus",10,1.34476886063025,32.8483859920043,7.65681060695361,0.515852963387029
35764,"HO_R2_25","R. sativus",25,1.19420656546996,33.4457375723807,7.57651190286158,0.328038268910802
35802,"RA_R3_15","H. vulgare",15,1.62480632195255,50.7188043492984,12.1138093733473,3.1632286517635
36038,"HO_R1_30","R. sativus",30,1.3463220047379,32.7841254570652,7.13485385733697,0.676919614315254
36145,"RA_R4_20","H. vulgare",20,1.59054024846154,43.4339166985083,11.1930012342565,2.31575164824228
36432,"HO_R2_10","R. sativus",10,1.2722560362958,22.6187828604837,5.18251789341827,0.350789270993954
36605,"RA_R4_30","H. vulgare",30,1.52074361103545,49.4773309908382,12.4271180646975,3.34885236589717
36731,"HO_R2_30","R. sativus",30,1.21304909872781,37.8013486821124,9.22071149641405,0.452187683025647
36912,"HO_R3_20","R. sativus",20,1.31808762036434,31.6130792261875,7.43019827514375,0.372771582030571
37191,"RA_R3_0","H. vulgare",0,1.58540724597478,23.0782091949716,5.89080136120319,1.54256208995484
37381,"RA_R3_35","H. vulgare",35,1.42336914018619,33.4078180518919,8.77288364960085,1.89270014663903
38025,"HO_R3_30","R. sativus",30,1.36627765201188,37.1192488546547,9.18312370958711,0.589678560044323
38114,"HO_R2_20","R. sativus",20,1.34885292334532,36.1185502912892,9.25244777742905,0.542446321425698
38118,"RA_R3_25","H. vulgare",25,1.52684818054003,28.834408894747,7.38781129794906,1.73233194623811
38386,"HO_R1_25","R. sativus",25,1.30585576724272,34.398891100474,8.29326516786644,0.524092266778604
38947,"HO_R2_5","R. sativus",5,1.13640249837197,24.0455304614752,5.63505266855015,0.305101265831846
39034,"RA_R2_35","H. vulgare",35,1.66078867692394,55.7923731662109,13.268705127341,4.28274131853177
39146,"RA_R2_0","H. vulgare",0,1.44527076150575,22.5567770468921,6.27028945741596,1.04969271955478
39291,"RA_R4_35","H. vulgare",35,1.45952874778371,34.7908939814832,8.8634462853371,2.35046312463326
39493,"RA_R1_15","H. vulgare",15,1.43333802940262,39.8045214746252,10.3665026282062,2.24920354490968
39992,"HO_R3_5","R. sativus",5,1.07669544310665,26.8490641986271,6.33123633514539,0.170354888641083
