Trait,Formula,Model,AIC,Singular,R2_marginal,R2_conditional,P_Value
LMA,trait ~ nitrogen,Random Intercept,219.0028986337404,FALSE,0.11265497168553996,0.23932834539854553,2.9396496335602816e-4
LMA,trait ~ nitrogen,Random Slope,223.7834967251324,FALSE,0.11765314904447512,0.196407262955559,0.020436446926106636
LMA,trait ~ nitrogen,Random Intercept + Slope,222.9120000573657,TRUE,0.1110463492398862,0.23929773434283005,8.809177055573448e-4
LDMC,trait ~ nitrogen,Random Intercept,855.7739782241188,FALSE,0.03968520583096615,0.696611176670978,6.402760677099445e-4
LDMC,trait ~ nitrogen,Random Slope,883.1126122888321,FALSE,0.005539038522383845,0.5484800235459965,0.7581977410545943
LDMC,trait ~ nitrogen,Random Intercept + Slope,859.7674253362756,TRUE,0.03900680403326335,0.6961289804761184,8.056036361953549e-4
CHL,trait ~ nitrogen,Random Intercept,689.4381473473953,FALSE,0.2507093937506907,0.3175389981129297,5.123433082917594e-8
CHL,trait ~ nitrogen,Random Slope,686.0377469648332,FALSE,0.21762564141956067,0.32135962746642865,0.008853363464158994
CHL,trait ~ nitrogen,Random Intercept + Slope,689.6203365072714,TRUE,0.20565845440156494,0.3147903230763873,0.07186817980546102
area_cm2,trait ~ nitrogen,Random Intercept,1331.294147775711,FALSE,0.1930347990478095,0.562474549505185,4.035123900085711e-9
area_cm2,trait ~ nitrogen,Random Slope,1321.2199387931912,FALSE,0.12201332003058034,0.5679159300831379,0.1714623185090592
area_cm2,trait ~ nitrogen,Random Intercept + Slope,1324.2423823472914,TRUE,0.13693550810005273,0.5809484233313937,0.11771591250268608
GRT,trait ~ nitrogen,Random Intercept,-476.055243091008,FALSE,0.09844145854113609,0.47393893087204486,5.515664198043337e-5
GRT,trait ~ nitrogen,Random Slope,-459.2828619712052,FALSE,0.15582693821854637,0.385173991006926,0.06207986379219375
GRT,trait ~ nitrogen,Random Intercept + Slope,-472.75941065559783,TRUE,0.08709309672012547,0.46591106062082355,0.012339586731518927
LMA,log(trait) ~ nitrogen,Random Intercept,-66.81286314411473,FALSE,0.0960480389596469,0.24853072822244057,7.28353660385585e-4
LMA,log(trait) ~ nitrogen,Random Slope,-61.059243301589476,FALSE,0.10024376309833147,0.19991868461451429,0.040380465522903274
LMA,log(trait) ~ nitrogen,Random Intercept + Slope,-62.87301845386588,TRUE,0.09517665125890315,0.248451898981918,0.0013185860298481338
LDMC,log(trait) ~ nitrogen,Random Intercept,-81.31798616016512,FALSE,0.0395339898383237,0.6683415008875792,0.001084249495520891
LDMC,log(trait) ~ nitrogen,Random Slope,-59.120655981592265,FALSE,0.005618104575732148,0.5365939206450291,0.7543924905384721
LDMC,log(trait) ~ nitrogen,Random Intercept + Slope,-77.48580018935455,TRUE,0.03600100926897514,0.6661939276136107,0.008959755853773076
