Trait,Formula,Model,AIC,Singular,R2_marginal,R2_conditional,P_Value
LMA,trait ~ nitrogen,Random Intercept,219.00289863374036,FALSE,0.1126549716854892,0.23932834539907358,2.939649633566675e-4
LMA,trait ~ nitrogen,Random Slope,223.7834964199172,FALSE,0.11765314909543988,0.19640726614560833,0.02043644483626768
LMA,trait ~ nitrogen,Random Intercept + Slope,222.91200203107167,TRUE,0.1110592538966038,0.2392531189965925,8.743309999810016e-4
LDMC,trait ~ nitrogen,Random Intercept,855.7739782241188,FALSE,0.039685205833302165,0.6966111766520229,6.402760677162064e-4
LDMC,trait ~ nitrogen,Random Slope,883.1126103675588,FALSE,0.005539039176978244,0.5484800343692734,0.7581977205430084
LDMC,trait ~ nitrogen,Random Intercept + Slope,859.7674253362757,TRUE,0.03900680403906958,0.6961289804184887,8.056036518943353e-4
CHL,trait ~ nitrogen,Random Intercept,689.4381473473953,FALSE,0.2507093940354735,0.31753899654356416,5.123433164247279e-8
CHL,trait ~ nitrogen,Random Slope,686.0377470492349,FALSE,0.21762564283494273,0.3213596279468316,0.008853361136393106
CHL,trait ~ nitrogen,Random Intercept + Slope,689.6203393797379,TRUE,0.20563275050705382,0.3147220309763034,0.07197295520049633
area_cm2,trait ~ nitrogen,Random Intercept,1331.2941477757113,FALSE,0.19303479904907175,0.5624745495019994,4.035123898916659e-9
area_cm2,trait ~ nitrogen,Random Slope,1321.2199384065557,FALSE,0.12201332286936861,0.5679159334625457,0.17146230191716721
area_cm2,trait ~ nitrogen,Random Intercept + Slope,1324.242382340024,TRUE,0.13692716483472572,0.5809808700619801,0.11774208248151205
GRT,trait ~ nitrogen,Random Intercept,-476.05524309100787,FALSE,0.09844145853653848,0.47393893089767897,5.515664197719062e-5
GRT,trait ~ nitrogen,Random Slope,-459.2828629550682,FALSE,0.1558269364643328,0.38517399732828517,0.06207986020668908
GRT,trait ~ nitrogen,Random Intercept + Slope,-472.7625645760071,TRUE,0.08531418036528232,0.4751246645309308,0.015264182395147752
LMA,log(trait) ~ nitrogen,Random Intercept,-66.81286314411467,FALSE,0.09604803895928442,0.24853072822605957,7.283536603925046e-4
LMA,log(trait) ~ nitrogen,Random Slope,-61.05924368366712,FALSE,0.1002437631061363,0.19991868825879755,0.04038046207645356
LMA,log(trait) ~ nitrogen,Random Intercept + Slope,-62.873007814260774,TRUE,0.095202053511236,0.24832222478102914,0.0013025162860050377
LDMC,log(trait) ~ nitrogen,Random Intercept,-81.31798616016519,FALSE,0.03953399051471211,0.6683414948176934,0.001084249502731201
LDMC,log(trait) ~ nitrogen,Random Slope,-59.120657713279456,FALSE,0.005618105238970947,0.5365939307985317,0.7543924697292375
LDMC,log(trait) ~ nitrogen,Random Intercept + Slope,-77.4857664402422,TRUE,0.03608303289217528,0.6652506135244804,0.00896596877268611
CHL,log(trait) ~ nitrogen,Random Intercept,30.73491114149502,FALSE,0.23322589523553736,0.2509978543737601,3.87401333340385e-7
CHL,log(trait) ~ nitrogen,Random Slope,29.646602817282805,FALSE,0.21560651880672135,0.25527865658704807,0.0010529073285161176
CHL,log(trait) ~ nitrogen,Random Intercept + Slope,32.32831431159629,FALSE,0.20481050557556482,0.2661231552965372,0.0669135011174681
area_cm2,log(trait) ~ nitrogen,Random Intercept,187.65367668752097,FALSE,0.27244776907037443,0.43126770691348415,1.1395243390050263e-9
area_cm2,log(trait) ~ nitrogen,Random Slope,179.90851283812086,FALSE,0.21700758607965442,0.44214096422821964,0.037238926977090574
area_cm2,log(trait) ~ nitrogen,Random Intercept + Slope,183.80264744031385,TRUE,0.2107426519582871,0.4380025040089334,0.0798223622050589
GRT,log(trait) ~ nitrogen,Random Intercept,234.5328590137643,FALSE,0.26015609006872226,0.4493361188830808,1.4136404594995616e-9
GRT,log(trait) ~ nitrogen,Random Slope,250.56759878393785,FALSE,0.2987063531034547,0.35424156443129234,5.709554004959548e-4
GRT,log(trait) ~ nitrogen,Random Intercept + Slope,229.9851646488809,TRUE,0.20346483276811814,0.47434274655372466,0.06444352982294234
LMA,trait ~ log(nitrogen),Random Intercept,197.57946561252564,FALSE,0.26721444772329606,0.40095172410927093,4.305777630379636e-9
LMA,trait ~ log(nitrogen),Random Slope,206.0314858291339,FALSE,0.256540184764845,0.3420667310826873,0.068990920295443
LMA,trait ~ log(nitrogen),Random Intercept + Slope,197.61827539707852,TRUE,0.2553372066545014,0.41647469968941403,0.01235081614872123
LDMC,trait ~ log(nitrogen),Random Intercept,837.6113146689933,FALSE,0.08891513106753118,0.7645826937552224,4.725264726474205e-8
LDMC,trait ~ log(nitrogen),Random Slope,854.7399055922974,FALSE,0.13228628685417074,0.8544836104690517,0.48203822303791627
LDMC,trait ~ log(nitrogen),Random Intercept + Slope,840.284736381285,FALSE,0.13256255969702785,0.809438727269799,0.6113375045776136
CHL,trait ~ log(nitrogen),Random Intercept,682.0458080457745,FALSE,0.298620002548925,0.39667468900589214,8.587474262268859e-10
