LDMC_trans,LMA_trans,CHL_trans,grt_trans,Model,AIC,R2,Singular_fit
inv,sqrt,inv,cub,Random Slope,-1347.5918876846713,0.9640410470666069,FALSE
inv,sqrt,inv,cub,Random Slope + Intercept,-1347.5918876846713,0.9640410470666069,FALSE
inv,log,inv,cub,Random Slope,-1345.9355538923755,0.9647462952828054,FALSE
inv,log,inv,cub,Random Slope + Intercept,-1345.9355538923755,0.9647462952828054,FALSE
inv,inv,inv,cub,Random Slope,-1344.7269497986879,0.9554376879305881,FALSE
inv,inv,inv,cub,Random Slope + Intercept,-1344.7269497986879,0.9554376879305881,FALSE
inv,just,inv_sqrt,cub,Random Slope,-1343.2865628645388,0.9296704268596465,FALSE
inv,just,inv_sqrt,cub,Random Slope + Intercept,-1343.2865628645388,0.9296704268596465,FALSE
inv_sqrt,just,inv,cub,Random Slope,-1342.7954055401606,0.9746634430071984,FALSE
inv_sqrt,just,inv,cub,Random Slope + Intercept,-1342.7954055401606,0.9746634430071984,FALSE
inv_sqrt,log,inv,cub,Random Slope,-1342.2752277386655,0.965059841303039,FALSE
inv_sqrt,log,inv,cub,Random Slope + Intercept,-1342.2752277386655,0.965059841303039,FALSE
inv_sqrt,inv,inv_sqrt,cub,Random Slope,-1341.755013634137,0.9504857026494515,FALSE
inv_sqrt,inv,inv_sqrt,cub,Random Slope + Intercept,-1341.755013634137,0.9504857026494515,FALSE
inv,just,inv,cub,Random Slope,-1341.721806734309,0.9223924309512359,FALSE
inv,just,inv,cub,Random Slope + Intercept,-1341.721806734309,0.9223924309512359,FALSE
inv_sqrt,sq,inv_sqrt,cub,Random Slope,-1337.7867241345214,0.9446082707387398,FALSE
inv_sqrt,sq,inv_sqrt,cub,Random Slope + Intercept,-1337.7867241345214,0.9446082707387398,FALSE
inv,sq,inv,cub,Random Slope,-1336.789786082471,0.9209130922327923,FALSE
inv,sq,inv,cub,Random Slope + Intercept,-1336.789786082471,0.9209130922327923,FALSE
log,log,inv_sqrt,cub,Random Slope,-1336.3615458507386,0.9619334583822958,FALSE
log,log,inv_sqrt,cub,Random Slope + Intercept,-1336.3615458507386,0.9619334583822958,FALSE
log,inv,inv_sqrt,cub,Random Slope,-1335.2846476910247,0.9434467775909228,FALSE
log,inv,inv_sqrt,cub,Random Slope + Intercept,-1335.2846476910247,0.9434467775909228,FALSE
log,sq,inv,cub,Random Slope,-1334.2387016635257,0.9783879444115078,FALSE
log,sq,inv,cub,Random Slope + Intercept,-1334.2387016635257,0.9783879444115078,FALSE
sqrt,sqrt,inv,cub,Random Slope,-1333.626637498089,0.9598428036622282,FALSE
sqrt,sqrt,inv,cub,Random Slope + Intercept,-1333.626637498089,0.9598428036622282,FALSE
log,sqrt,sqrt,cub,Random Slope,-1333.2680931614816,0.9737336136219258,FALSE
log,sqrt,sqrt,cub,Random Slope + Intercept,-1333.2680931614816,0.9737336136219258,FALSE
sqrt,log,inv_sqrt,cub,Random Slope,-1332.5159080154726,0.9552139889059268,FALSE
sqrt,log,inv_sqrt,cub,Random Slope + Intercept,-1332.5159080154726,0.9552139889059268,FALSE
sqrt,just,inv,cub,Random Slope,-1332.4048874607156,0.9690642321665112,FALSE
